transaction_id,investor_id,amfi_code,transaction_date,transaction_type,amount,units,nav_at_transaction,state,kyc_status
TXN000001,INV00227,118844,2022-09-02,Switch,17368.12,96.936,137.3195,West Bengal,NOT_KYC
TXN000002,INV00458,120503,2024-03-30,Redemption,327300.11,8746.694,74.6181,UP,KYC_REJECTED
TXN000003,INV00228,125497,2024-12-05,SIP,372841.88,2715.227,34.7657,UP,KYC_PENDING
TXN000004,INV00089,118838,2020-09-09,Lumpsum,65443.21,482.866,19.4198,Tamil Nadu,KYC_VERIFIED
TXN000005,INV00398,118825,2020-12-01,Lumpsum,116298.23,5856.407,51.4983,Delhi,KYC_VERIFIED
TXN000006,INV00363,118835,2022-02-15,SIP,11767.55,69.813,286.0605,Rajasthan,KYC_REJECTED
TXN000007,INV00205,118835,2023-12-20,Redemption,113669.61,846.2,65.3115,UP,KYC_REJECTED
TXN000008,INV00047,118839,2021-10-23,Lumpsum,389374.74,3669.498,80.3076,Maharashtra,KYC_VERIFIED
TXN000009,INV00454,118839,2024-10-30,Dividend,470132.79,6361.482,164.1953,West Bengal,KYC_PENDING
TXN000010,INV00392,119092,2020-08-26,Dividend,480942.36,3028.079,84.2183,West Bengal,KYC_VERIFIED
TXN000012,INV00498,118837,2024-06-27,Redemption,15416.86,134.5,194.8871,UP,KYC_REJECTED
TXN000013,INV00370,118839,2020-02-26,Lumpsum,339528.41,8070.766,82.2409,Karnataka,NOT_KYC
TXN000014,INV00167,120503,2020-07-09,Dividend,310905.33,3604.954,130.2647,Delhi,KYC_REJECTED
TXN000015,INV00290,118845,2023-09-17,Dividend,66293.41,420.697,56.2491,UP,KYC_PENDING
TXN000016,INV00291,118632,2021-05-30,Redemption,400818.67,2482.331,60.3675,Karnataka,NOT_KYC
TXN000017,INV00005,118845,2022-03-14,Lumpsum,155199.9,3302.643,62.9979,Maharashtra,NOT_KYC
TXN000018,INV00092,119551,2020-02-09,Dividend,162428.61,1582.246,108.1579,Karnataka,KYC_PENDING
TXN000019,INV00336,119551,2020-10-28,SIP,340712.25,13292.912,267.3596,West Bengal,KYC_VERIFIED
TXN000020,INV00256,118838,2021-07-10,Lumpsum,33878.21,250.719,211.8911,Maharashtra,KYC_VERIFIED
TXN000021,INV00333,118839,2022-04-30,SIP,66238.22,418.74,113.0984,Rajasthan,KYC_REJECTED
TXN000022,INV00118,118841,2021-06-01,Redemption,138249.58,6735.205,165.0206,West Bengal,KYC_VERIFIED
TXN000024,INV00219,118825,2022-03-25,SIP,267686.9,1660.919,260.6843,West Bengal,NOT_KYC
TXN000025,INV00039,118846,2020-11-10,Lumpsum,114945.44,761.783,164.1422,Karnataka,KYC_REJECTED
TXN000026,INV00055,118841,2020-01-15,Redemption,48279.06,462.856,294.5528,UP,KYC_PENDING
TXN000027,INV00067,119551,2023-06-18,SIP,64998.72,1991.38,173.0818,West Bengal,KYC_PENDING
TXN000028,INV00231,118834,2021-04-09,SIP,352663.47,2099.753,176.8512,Delhi,NOT_KYC
TXN000029,INV00053,118845,2021-11-28,Redemption,253007.67,2264.051,281.9935,West Bengal,KYC_VERIFIED
TXN000030,INV00310,119092,2020-06-07,Switch,214963.48,8324.315,184.4472,Maharashtra,NOT_KYC
TXN000031,INV00440,118837,2024-08-27,SIP,468191.92,2352.314,289.3199,Tamil Nadu,KYC_VERIFIED
TXN000032,INV00211,118844,2024-07-18,Lumpsum,234138.13,2812.775,110.2898,Karnataka,KYC_REJECTED
TXN000033,INV00335,118844,2021-05-01,Switch,346703.76,2338.686,78.334,Rajasthan,NOT_KYC
TXN000034,INV00098,118842,2020-12-17,Lumpsum,440993.32,9277.222,266.1691,Gujarat,KYC_REJECTED
TXN000035,INV00444,118841,2022-11-28,Redemption,247955.98,3148.184,41.9921,Rajasthan,KYC_VERIFIED
TXN000036,INV00428,118834,2022-11-27,Lumpsum,433341.22,3424.463,175.6928,Delhi,KYC_VERIFIED
TXN000037,INV00151,118844,2023-08-18,Switch,9872.03,81.977,131.4409,Maharashtra,KYC_VERIFIED
TXN000038,INV00215,120503,2023-03-08,Redemption,143896.69,1414.127,148.5859,Tamil Nadu,KYC_VERIFIED
TXN000039,INV00356,125497,2022-04-10,Lumpsum,191280.52,5639.292,85.8927,Tamil Nadu,KYC_VERIFIED
TXN000040,INV00305,118834,2022-04-24,SIP,391054.12,2671.351,87.8447,Maharashtra,KYC_VERIFIED
TXN000041,INV00364,118837,2020-10-30,SIP,233647.11,1528.034,63.4605,Tamil Nadu,NOT_KYC
TXN000042,INV00169,118836,2020-05-14,Redemption,129683.02,1093.451,238.5083,Maharashtra,KYC_VERIFIED
TXN000043,INV00115,118843,2021-06-28,Lumpsum,63373.92,323.354,187.1376,Gujarat,NOT_KYC
TXN000044,INV00125,118836,2020-12-01,Redemption,79378.36,624.403,208.4736,UP,NOT_KYC
TXN000045,INV00405,118632,2021-12-23,Lumpsum,124973.56,3006.255,233.0529,Tamil Nadu,KYC_VERIFIED
TXN000046,INV00006,118841,2024-02-01,SIP,389796.53,2656.311,51.5424,Maharashtra,KYC_REJECTED
TXN000047,INV00154,120503,2023-12-11,Switch,485709.18,5566.864,260.7529,Gujarat,KYC_VERIFIED
TXN000048,INV00378,120841,2022-07-13,Redemption,251867.45,3575.693,201.011,Maharashtra,KYC_VERIFIED
TXN000049,INV00253,125497,2023-08-06,Lumpsum,124667.86,844.733,227.4783,Rajasthan,NOT_KYC
TXN000050,INV00116,118838,2024-07-19,Lumpsum,431608.75,6338.087,77.0473,Rajasthan,KYC_REJECTED
TXN000051,INV00399,119551,2021-07-21,Lumpsum,160072.63,998.426,209.778,Tamil Nadu,KYC_REJECTED
TXN000052,INV00102,118842,2023-02-16,Lumpsum,347109.65,2076.328,249.5387,Karnataka,KYC_PENDING
TXN000053,INV00175,118834,2020-02-10,Lumpsum,467159.75,3606.755,253.0946,Delhi,KYC_VERIFIED
TXN000054,INV00092,125497,2021-04-16,Lumpsum,211838.75,3224.685,147.9394,Gujarat,KYC_VERIFIED
TXN000055,INV00235,118845,2023-01-08,Lumpsum,187466.95,9170.094,76.7439,Maharashtra,KYC_VERIFIED
TXN000056,INV00068,118632,2022-03-29,Redemption,24574.78,871.164,18.2178,Karnataka,KYC_VERIFIED
TXN000057,INV00412,118838,2021-10-26,Lumpsum,267393.55,2049.472,212.4967,Gujarat,KYC_PENDING
TXN000058,INV00485,120841,2023-08-19,Redemption,409000.92,4827.602,30.6499,Tamil Nadu,KYC_VERIFIED
TXN000059,INV00262,118838,2024-10-18,SIP,44256.89,234.334,233.5015,Karnataka,KYC_REJECTED
TXN000060,INV00499,118632,2024-09-25,Redemption,125108.37,688.735,111.296,Delhi,KYC_VERIFIED
