sip_id,investor_id,amfi_code,sip_amount,start_date,end_date,status
SIP0,INV02069,122,500,2022-01-01,2025-12-31,Active
SIP1,INV04797,132,500,2022-01-01,2025-12-31,Active
SIP2,INV01331,103,5000,2022-01-01,2025-12-31,Active
SIP3,INV04467,123,500,2022-01-01,2025-12-31,Active
SIP4,INV02922,110,5000,2022-01-01,2025-12-31,Active
SIP5,INV04813,111,1000,2022-01-01,2025-12-31,Active
SIP6,INV03485,105,10000,2022-01-01,2025-12-31,Active
SIP7,INV03541,101,5000,2022-01-01,2025-12-31,Active
SIP8,INV00622,103,10000,2022-01-01,2025-12-31,Active
SIP9,INV01355,106,5000,2022-01-01,2025-12-31,Active
SIP10,INV04864,120,10000,2022-01-01,2025-12-31,Active
SIP11,INV04521,126,5000,2022-01-01,2025-12-31,Active
SIP12,INV03680,133,5000,2022-01-01,2025-12-31,Active
SIP13,INV04617,116,10000,2022-01-01,2025-12-31,Active
SIP14,INV03599,124,500,2022-01-01,2025-12-31,Active
SIP15,INV00551,117,500,2022-01-01,2025-12-31,Active
SIP16,INV02164,117,500,2022-01-01,2025-12-31,Active
SIP17,INV03471,103,500,2022-01-01,2025-12-31,Active
SIP18,INV01676,108,5000,2022-01-01,2025-12-31,Active
SIP19,INV04037,106,5000,2022-01-01,2025-12-31,Active
SIP20,INV02209,118,500,2022-01-01,2025-12-31,Active
SIP21,INV04965,112,10000,2022-01-01,2025-12-31,Active
SIP22,INV02156,118,5000,2022-01-01,2025-12-31,Active
SIP23,INV01977,124,5000,2022-01-01,2025-12-31,Active
SIP24,INV03997,132,5000,2022-01-01,2025-12-31,Active
SIP25,INV03236,108,10000,2022-01-01,2025-12-31,Active
SIP26,INV03403,108,500,2022-01-01,2025-12-31,Active
SIP27,INV03872,132,5000,2022-01-01,2025-12-31,Active
SIP28,INV03544,121,5000,2022-01-01,2025-12-31,Active
SIP29,INV04949,119,1000,2022-01-01,2025-12-31,Active
SIP30,INV03976,108,5000,2022-01-01,2025-12-31,Active
SIP31,INV01189,104,500,2022-01-01,2025-12-31,Active
SIP32,INV01676,128,1000,2022-01-01,2025-12-31,Active
SIP33,INV00875,103,10000,2022-01-01,2025-12-31,Active
SIP34,INV00951,112,1000,2022-01-01,2025-12-31,Active
SIP35,INV00980,111,5000,2022-01-01,2025-12-31,Active
SIP36,INV02465,124,10000,2022-01-01,2025-12-31,Active
SIP37,INV01665,110,1000,2022-01-01,2025-12-31,Active
SIP38,INV02912,125,5000,2022-01-01,2025-12-31,Active
SIP39,INV02324,103,1000,2022-01-01,2025-12-31,Active
SIP40,INV03111,119,1000,2022-01-01,2025-12-31,Active
SIP41,INV02200,112,1000,2022-01-01,2025-12-31,Active
SIP42,INV02842,106,5000,2022-01-01,2025-12-31,Active
SIP43,INV04054,114,1000,2022-01-01,2025-12-31,Active
SIP44,INV01404,128,5000,2022-01-01,2025-12-31,Active
SIP45,INV03879,134,10000,2022-01-01,2025-12-31,Active
SIP46,INV03029,125,10000,2022-01-01,2025-12-31,Active
SIP47,INV00204,108,500,2022-01-01,2025-12-31,Active
SIP48,INV01647,115,500,2022-01-01,2025-12-31,Active
SIP49,INV03488,134,1000,2022-01-01,2025-12-31,Active
SIP50,INV04430,134,5000,2022-01-01,2025-12-31,Active
SIP51,INV02442,130,500,2022-01-01,2025-12-31,Active
SIP52,INV00807,128,5000,2022-01-01,2025-12-31,Active
SIP53,INV04995,138,500,2022-01-01,2025-12-31,Active
SIP54,INV01539,117,5000,2022-01-01,2025-12-31,Active
SIP55,INV00299,124,1000,2022-01-01,2025-12-31,Active
SIP56,INV00634,124,500,2022-01-01,2025-12-31,Active
SIP57,INV00810,129,500,2022-01-01,2025-12-31,Active
SIP58,INV00675,125,500,2022-01-01,2025-12-31,Active
SIP59,INV00172,135,1000,2022-01-01,2025-12-31,Active
SIP60,INV01571,129,10000,2022-01-01,2025-12-31,Active
SIP61,INV04295,120,5000,2022-01-01,2025-12-31,Active
SIP62,INV02595,104,5000,2022-01-01,2025-12-31,Active
SIP63,INV03666,104,10000,2022-01-01,2025-12-31,Active
SIP64,INV01680,128,5000,2022-01-01,2025-12-31,Active
SIP65,INV02565,128,500,2022-01-01,2025-12-31,Active
SIP66,INV00413,139,5000,2022-01-01,2025-12-31,Active
SIP67,INV02865,126,5000,2022-01-01,2025-12-31,Active
SIP68,INV02462,100,1000,2022-01-01,2025-12-31,Active
SIP69,INV00666,108,5000,2022-01-01,2025-12-31,Active
SIP70,INV03164,128,500,2022-01-01,2025-12-31,Active
SIP71,INV04416,110,500,2022-01-01,2025-12-31,Active
SIP72,INV03118,111,5000,2022-01-01,2025-12-31,Active
SIP73,INV02339,139,1000,2022-01-01,2025-12-31,Active
SIP74,INV01946,102,5000,2022-01-01,2025-12-31,Active
SIP75,INV00895,107,10000,2022-01-01,2025-12-31,Active
SIP76,INV02702,127,5000,2022-01-01,2025-12-31,Active
SIP77,INV01988,116,500,2022-01-01,2025-12-31,Active
SIP78,INV01343,139,10000,2022-01-01,2025-12-31,Active
SIP79,INV04778,139,10000,2022-01-01,2025-12-31,Active
SIP80,INV03206,120,5000,2022-01-01,2025-12-31,Active
SIP81,INV03290,129,500,2022-01-01,2025-12-31,Active
SIP82,INV01338,116,5000,2022-01-01,2025-12-31,Active
SIP83,INV04184,135,10000,2022-01-01,2025-12-31,Active
SIP84,INV03871,116,10000,2022-01-01,2025-12-31,Active
SIP85,INV02776,116,1000,2022-01-01,2025-12-31,Active
SIP86,INV02761,125,5000,2022-01-01,2025-12-31,Active
SIP87,INV01376,124,5000,2022-01-01,2025-12-31,Active
SIP88,INV00440,117,1000,2022-01-01,2025-12-31,Active
SIP89,INV01824,124,5000,2022-01-01,2025-12-31,Active
SIP90,INV02564,138,10000,2022-01-01,2025-12-31,Active
SIP91,INV04892,123,500,2022-01-01,2025-12-31,Active
SIP92,INV01290,114,10000,2022-01-01,2025-12-31,Active
SIP93,INV02895,128,10000,2022-01-01,2025-12-31,Active
SIP94,INV01723,100,5000,2022-01-01,2025-12-31,Active
SIP95,INV00058,108,10000,2022-01-01,2025-12-31,Active
SIP96,INV03614,103,500,2022-01-01,2025-12-31,Active
SIP97,INV03077,109,10000,2022-01-01,2025-12-31,Active
SIP98,INV02507,124,1000,2022-01-01,2025-12-31,Active
SIP99,INV01979,109,10000,2022-01-01,2025-12-31,Active
SIP100,INV03220,108,500,2022-01-01,2025-12-31,Active
SIP101,INV01625,105,10000,2022-01-01,2025-12-31,Active
SIP102,INV04911,130,500,2022-01-01,2025-12-31,Active
SIP103,INV03278,128,5000,2022-01-01,2025-12-31,Active
SIP104,INV04056,127,1000,2022-01-01,2025-12-31,Active
SIP105,INV00767,123,5000,2022-01-01,2025-12-31,Active
SIP106,INV00705,125,10000,2022-01-01,2025-12-31,Active
SIP107,INV04571,114,500,2022-01-01,2025-12-31,Active
SIP108,INV02080,115,10000,2022-01-01,2025-12-31,Active
SIP109,INV03791,129,1000,2022-01-01,2025-12-31,Active
SIP110,INV01784,123,1000,2022-01-01,2025-12-31,Active
SIP111,INV00915,106,500,2022-01-01,2025-12-31,Active
SIP112,INV02863,110,10000,2022-01-01,2025-12-31,Active
SIP113,INV00042,136,1000,2022-01-01,2025-12-31,Active
SIP114,INV03669,138,1000,2022-01-01,2025-12-31,Active
SIP115,INV02709,100,5000,2022-01-01,2025-12-31,Active
SIP116,INV01946,103,10000,2022-01-01,2025-12-31,Active
SIP117,INV01092,137,5000,2022-01-01,2025-12-31,Active
SIP118,INV04469,116,500,2022-01-01,2025-12-31,Active
SIP119,INV00925,128,10000,2022-01-01,2025-12-31,Active
SIP120,INV01963,134,5000,2022-01-01,2025-12-31,Active
SIP121,INV03722,132,500,2022-01-01,2025-12-31,Active
SIP122,INV03867,114,1000,2022-01-01,2025-12-31,Active
SIP123,INV01451,139,5000,2022-01-01,2025-12-31,Active
SIP124,INV03350,105,500,2022-01-01,2025-12-31,Active
SIP125,INV00382,105,500,2022-01-01,2025-12-31,Active
SIP126,INV02306,127,10000,2022-01-01,2025-12-31,Active
SIP127,INV02534,133,500,2022-01-01,2025-12-31,Active
SIP128,INV02519,120,500,2022-01-01,2025-12-31,Active
SIP129,INV01585,114,10000,2022-01-01,2025-12-31,Active
SIP130,INV01921,109,5000,2022-01-01,2025-12-31,Active
SIP131,INV02024,106,10000,2022-01-01,2025-12-31,Active
SIP132,INV00006,126,10000,2022-01-01,2025-12-31,Active
SIP133,INV02710,104,500,2022-01-01,2025-12-31,Active
SIP134,INV04493,125,5000,2022-01-01,2025-12-31,Active
SIP135,INV00831,125,500,2022-01-01,2025-12-31,Active
SIP136,INV01706,129,1000,2022-01-01,2025-12-31,Active
SIP137,INV03831,138,10000,2022-01-01,2025-12-31,Active
SIP138,INV03874,138,500,2022-01-01,2025-12-31,Active
SIP139,INV01222,101,500,2022-01-01,2025-12-31,Active
SIP140,INV00691,114,10000,2022-01-01,2025-12-31,Active
SIP141,INV02891,136,10000,2022-01-01,2025-12-31,Active
SIP142,INV03783,106,5000,2022-01-01,2025-12-31,Active
SIP143,INV00307,113,500,2022-01-01,2025-12-31,Active
SIP144,INV02787,112,10000,2022-01-01,2025-12-31,Active
SIP145,INV01254,114,5000,2022-01-01,2025-12-31,Active
SIP146,INV04019,132,5000,2022-01-01,2025-12-31,Active
SIP147,INV03640,110,5000,2022-01-01,2025-12-31,Active
SIP148,INV04125,130,500,2022-01-01,2025-12-31,Active
SIP149,INV01673,111,500,2022-01-01,2025-12-31,Active
SIP150,INV02557,114,500,2022-01-01,2025-12-31,Active
